event_id,event_type,customer_id,endpoint_id,attempt_number,http_status,response_time_ms,timeout,signature_valid
evt_bulk_d30b237f,invoice.paid,cust_020,ep_002,1,401,2200.25,false,false
evt_bulk_8831ec21,subscription.canceled,cust_030,ep_005,1,401,1648.84,false,false
evt_bulk_7ed90809,invoice.paid,cust_040,ep_003,1,429,4024.12,false,true
evt_bulk_7ed90809,invoice.paid,cust_040,ep_003,2,200,285.07,false,true
evt_bulk_9ab8d963,user.created,cust_040,ep_001,1,429,5597.41,false,true
evt_bulk_9ab8d963,user.created,cust_040,ep_001,2,201,154.51,false,true
evt_bulk_2756a1be,payment.failed,cust_010,ep_005,1,500,2590.56,false,true
evt_bulk_64790ccd,invoice.paid,cust_010,ep_001,1,401,2640.34,false,false
evt_bulk_c3a90b74,user.created,cust_020,ep_006,1,502,2567.99,false,true
evt_bulk_c3a90b74,user.created,cust_020,ep_006,2,504,2302.64,true,true
evt_bulk_c3a90b74,user.created,cust_020,ep_006,3,401,1915.54,false,false
evt_bulk_5b7e7da2,order.shipped,cust_030,ep_003,1,504,1972.9,true,true
evt_bulk_5b7e7da2,order.shipped,cust_030,ep_003,2,200,393.04,false,true
evt_bulk_c40a4ab3,invoice.paid,cust_030,ep_002,1,502,4907.78,false,true
evt_bulk_c40a4ab3,invoice.paid,cust_030,ep_002,2,500,5003.84,false,true
evt_bulk_c40a4ab3,invoice.paid,cust_030,ep_002,3,504,3066.42,true,true
evt_bulk_c40a4ab3,invoice.paid,cust_030,ep_002,4,200,182.74,false,true
evt_bulk_82099598,order.shipped,cust_020,ep_001,1,504,4382.56,true,true
evt_bulk_82099598,order.shipped,cust_020,ep_001,2,504,4979.19,true,true
evt_bulk_82099598,order.shipped,cust_020,ep_001,3,500,4157.27,false,true
evt_bulk_82099598,order.shipped,cust_020,ep_001,4,502,3803.95,false,true
evt_bulk_82099598,order.shipped,cust_020,ep_001,5,500,5098.52,false,true
evt_bulk_c3282da8,invoice.paid,cust_040,ep_005,1,200,120.64,false,true
evt_bulk_0674829e,user.created,cust_050,ep_001,1,504,2297.23,true,true
evt_bulk_0674829e,user.created,cust_050,ep_001,2,502,3674.09,false,true
evt_bulk_0674829e,user.created,cust_050,ep_001,3,504,5937.97,true,true
evt_bulk_0674829e,user.created,cust_050,ep_001,4,500,5806.14,false,true
evt_bulk_0674829e,user.created,cust_050,ep_001,5,401,1887.23,false,false
evt_bulk_a6f7b476,payment.failed,cust_040,ep_003,1,200,344.85,false,true
evt_bulk_b1048423,payment.failed,cust_020,ep_002,1,200,302.07,false,true
evt_bulk_6afe5642,subscription.canceled,cust_020,ep_003,1,200,259.36,false,true
evt_bulk_37233a7b,payment.failed,cust_040,ep_004,1,429,4941.09,false,true
evt_bulk_37233a7b,payment.failed,cust_040,ep_004,2,504,5141.88,true,true
evt_bulk_37233a7b,payment.failed,cust_040,ep_004,3,504,2437.6,true,true
evt_bulk_37233a7b,payment.failed,cust_040,ep_004,4,500,3981.06,false,true
evt_bulk_37233a7b,payment.failed,cust_040,ep_004,5,500,3193.16,false,true
evt_bulk_dc5e73a0,user.created,cust_010,ep_003,1,200,227.58,false,true
evt_bulk_2e1a2378,payment.failed,cust_040,ep_005,1,200,222.03,false,true
evt_bulk_c82252c0,order.shipped,cust_020,ep_001,1,401,2365.16,false,false
evt_bulk_896b1a99,payment.failed,cust_020,ep_002,1,401,5376.05,false,false
evt_bulk_e62f5d37,payment.failed,cust_010,ep_005,1,401,4032.76,false,false
evt_bulk_8119921f,subscription.canceled,cust_030,ep_003,1,200,129.91,false,true
evt_bulk_692b4b1c,order.shipped,cust_030,ep_006,1,502,4007.89,false,true
