event_id,event_type,payload_size_kb,endpoint_id,endpoint_health_score,rate_limit_per_minute,total_attempts,timeout_count,server_error_count,client_error_count,success_count,avg_response_time,max_response_time,replay_count,duplicate_count,retry_count,timeout_ratio,error_ratio,is_recovered,priority_critical,priority_high,priority_low,priority_medium
evt_dup_c43c568e,invoice.validated,302,ep_00005,0.852,200,1,0,0,0,1,622.0,622,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_dup_2a5a4ce6,invoice.paid,570,ep_00412,0.745,30,1,0,0,0,1,1544.0,1544,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_006144,compliance.submitted,410,ep_00432,0.635,200,1,0,0,0,1,410.0,410,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_001098,invoice.created,252,ep_00205,0.715,200,1,0,0,0,1,83.0,83,1.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_003373,compliance.failed,478,ep_00257,0.999,100,6,0,0,6,0,369.1666666666667,602,0.0,0.0,5,0.0,1.0,0,False,False,True,False
evt_014241,invoice.rejected,316,ep_00595,0.999,200,3,1,2,0,1,888.3333333333334,1084,1.0,0.0,2,0.3333333333333333,0.6666666666666666,1,False,False,False,True
evt_011538,invoice.rejected,291,ep_00135,0.77,500,2,0,1,0,1,693.0,945,0.0,0.0,1,0.0,0.5,1,False,False,False,True
evt_007403,invoice.rejected,134,ep_00326,0.734,200,3,0,0,2,1,724.0,955,0.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_005380,invoice.created,234,ep_00555,0.921,200,1,0,0,0,1,776.0,776,1.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_001663,invoice.created,212,ep_00322,0.951,60,1,0,0,0,1,581.0,581,1.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_000165,compliance.submitted,433,ep_00340,0.812,30,3,0,0,2,1,550.0,733,1.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_002614,compliance.submitted,181,ep_00342,0.909,60,3,1,2,0,1,293.0,515,0.0,0.0,2,0.3333333333333333,0.6666666666666666,1,False,False,True,False
evt_006510,compliance.submitted,166,ep_00016,0.813,60,1,0,0,0,1,997.0,997,0.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_008639,invoice.validated,1101,ep_00510,0.78,200,1,0,0,0,1,532.0,532,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_010394,invoice.validated,343,ep_00478,0.917,200,1,0,0,0,1,365.0,365,0.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_009011,invoice.created,375,ep_00494,0.777,60,5,0,5,0,0,294.6,555,1.0,0.0,4,0.0,1.0,0,False,True,False,False
evt_dup_6238019c,invoice.validated,188,ep_00340,0.812,30,3,0,0,3,0,563.6666666666666,984,0.0,0.0,2,0.0,1.0,0,False,False,True,False
evt_004825,compliance.submitted,318,ep_00508,0.776,30,1,0,0,0,1,381.0,381,0.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_004084,invoice.paid,240,ep_00101,0.71,200,1,0,0,0,1,275.0,275,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_006838,compliance.submitted,429,ep_00110,0.871,60,1,0,0,0,1,462.0,462,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_011203,invoice.created,227,ep_00517,0.94,100,1,0,0,0,1,572.0,572,1.0,1.0,0,0.0,0.0,1,False,True,False,False
evt_009735,invoice.paid,199,ep_00316,0.883,60,3,0,0,2,1,669.0,958,0.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_dup_61c7edd6,invoice.created,367,ep_00368,0.882,60,3,0,0,2,1,623.3333333333334,803,0.0,0.0,2,0.0,0.6666666666666666,1,False,False,False,True
evt_014696,invoice.created,293,ep_00600,0.925,500,1,0,0,0,1,325.0,325,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_dup_9ede0a15,compliance.submitted,159,ep_00167,0.979,200,6,0,0,6,0,555.5,754,0.0,0.0,5,0.0,1.0,0,False,False,False,True
evt_003038,compliance.submitted,366,ep_00519,0.892,200,3,0,0,2,1,326.3333333333333,524,0.0,0.0,2,0.0,0.6666666666666666,1,False,False,True,False
evt_002584,invoice.paid,340,ep_00183,0.751,100,1,0,0,0,1,744.0,744,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_001520,invoice.validated,54,ep_00405,0.826,200,1,0,0,0,1,512.0,512,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_003629,compliance.failed,124,ep_00176,0.979,500,3,0,0,2,1,528.3333333333334,614,0.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_006523,invoice.rejected,320,ep_00214,0.958,100,3,0,0,2,1,268.0,468,0.0,0.0,2,0.0,0.6666666666666666,1,True,False,False,False
evt_007923,compliance.submitted,224,ep_00171,0.773,200,1,0,0,0,1,1078.0,1078,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_000714,compliance.submitted,261,ep_00439,0.676,60,6,0,0,6,0,727.1666666666666,1246,1.0,0.0,5,0.0,1.0,0,False,False,False,True
evt_009565,compliance.submitted,577,ep_00597,0.848,500,1,0,0,0,1,346.0,346,1.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_014475,invoice.paid,41,ep_00319,0.919,200,1,0,0,0,1,977.0,977,1.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_014718,invoice.created,463,ep_00534,0.735,60,6,0,0,6,0,672.6666666666666,782,0.0,0.0,5,0.0,1.0,0,False,False,True,False
evt_004598,invoice.validated,304,ep_00086,0.82,60,3,0,0,2,1,534.6666666666666,683,0.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_003201,invoice.created,92,ep_00527,0.685,100,3,0,3,0,0,487.3333333333333,1049,0.0,0.0,2,0.0,1.0,0,False,False,True,False
evt_005041,invoice.validated,238,ep_00495,0.999,500,3,0,0,2,1,701.6666666666666,844,1.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
evt_005779,invoice.paid,331,ep_00162,0.974,60,1,0,0,0,1,271.0,271,0.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_012418,invoice.created,161,ep_00068,0.999,60,4,0,0,4,0,612.5,1014,0.0,0.0,3,0.0,1.0,0,False,False,True,False
evt_006216,compliance.failed,59,ep_00017,0.758,500,1,0,0,0,1,595.0,595,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_012442,invoice.created,149,ep_00223,0.962,200,1,0,0,0,1,701.0,701,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_002430,compliance.failed,150,ep_00099,0.881,200,3,1,2,0,1,567.3333333333334,733,0.0,0.0,2,0.3333333333333333,0.6666666666666666,1,False,True,False,False
evt_001146,compliance.submitted,399,ep_00047,0.825,500,1,0,0,0,1,849.0,849,1.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_003015,compliance.submitted,181,ep_00405,0.826,200,2,0,0,2,0,940.5,1273,0.0,0.0,1,0.0,1.0,0,False,False,True,False
evt_014524,compliance.submitted,757,ep_00114,0.999,60,3,0,0,2,1,522.3333333333334,812,0.0,0.0,2,0.0,0.6666666666666666,1,False,False,False,True
evt_006889,compliance.failed,255,ep_00153,0.798,200,4,0,4,0,0,689.75,751,1.0,0.0,3,0.0,1.0,0,False,False,True,False
evt_dup_57202689,invoice.paid,360,ep_00301,0.781,100,1,0,0,0,1,356.0,356,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_000414,invoice.created,466,ep_00490,0.986,200,1,0,0,0,1,1417.0,1417,1.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_dup_0a545518,invoice.validated,650,ep_00105,0.861,200,2,0,1,0,1,544.0,867,0.0,0.0,1,0.0,0.5,1,False,True,False,False
evt_008160,compliance.submitted,211,ep_00035,0.979,200,2,0,2,0,0,686.5,847,1.0,0.0,1,0.0,1.0,0,False,False,False,True
evt_005090,invoice.rejected,306,ep_00230,0.962,200,3,0,2,0,1,436.6666666666667,508,1.0,0.0,2,0.0,0.6666666666666666,1,False,False,True,False
evt_009715,invoice.created,117,ep_00300,0.956,200,3,1,2,0,1,704.3333333333334,912,0.0,0.0,2,0.3333333333333333,0.6666666666666666,1,True,False,False,False
evt_006914,compliance.failed,169,ep_00578,0.973,30,1,0,0,0,1,418.0,418,1.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_dup_0012281a,invoice.created,239,ep_00097,0.916,60,4,0,0,4,0,545.0,990,0.0,0.0,3,0.0,1.0,0,False,False,True,False
evt_008067,invoice.paid,339,ep_00432,0.635,200,2,0,1,0,1,432.5,463,1.0,0.0,1,0.0,0.5,1,False,False,True,False
evt_011683,invoice.validated,106,ep_00023,0.888,100,3,0,0,2,1,578.3333333333334,601,0.0,0.0,2,0.0,0.6666666666666666,1,False,False,True,False
evt_010801,invoice.validated,328,ep_00300,0.956,200,2,0,1,0,1,509.5,622,1.0,0.0,1,0.0,0.5,1,False,False,False,True
evt_008922,invoice.validated,268,ep_00406,0.955,500,3,0,0,2,1,322.3333333333333,440,1.0,0.0,2,0.0,0.6666666666666666,1,False,False,True,False
evt_011810,invoice.created,223,ep_00330,0.955,500,1,0,0,0,1,1107.0,1107,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_003918,invoice.created,88,ep_00454,0.94,60,1,0,0,0,1,1247.0,1247,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_005247,compliance.submitted,229,ep_00202,0.947,30,1,0,0,0,1,50.0,50,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_002755,compliance.submitted,151,ep_00201,0.923,200,1,0,0,0,1,434.0,434,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_008799,compliance.failed,449,ep_00263,0.491,60,3,1,2,0,1,614.3333333333334,836,0.0,0.0,2,0.3333333333333333,0.6666666666666666,1,False,False,True,False
evt_010841,compliance.submitted,308,ep_00019,0.771,60,1,0,0,0,1,775.0,775,0.0,0.0,0,0.0,0.0,1,False,True,False,False
evt_009961,invoice.paid,103,ep_00272,0.708,60,4,0,0,4,0,698.5,1103,0.0,0.0,3,0.0,1.0,0,False,True,False,False
evt_009747,invoice.rejected,174,ep_00516,0.971,500,3,1,2,0,1,506.6666666666667,699,0.0,0.0,2,0.3333333333333333,0.6666666666666666,1,False,False,False,True
evt_002992,invoice.created,44,ep_00339,0.93,100,2,0,1,0,1,703.0,706,0.0,0.0,1,0.0,0.5,1,False,False,True,False
evt_006584,invoice.rejected,75,ep_00350,0.854,200,1,0,0,0,1,488.0,488,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_010366,invoice.validated,410,ep_00111,0.65,200,2,0,1,0,1,820.0,894,0.0,0.0,1,0.0,0.5,1,False,True,False,False
evt_011659,invoice.created,292,ep_00162,0.974,60,1,0,0,0,1,386.0,386,0.0,0.0,0,0.0,0.0,1,False,False,False,True
evt_009370,compliance.failed,254,ep_00048,0.999,60,3,0,0,2,1,530.3333333333334,764,0.0,0.0,2,0.0,0.6666666666666666,1,False,False,False,True
evt_014261,invoice.paid,312,ep_00537,0.777,100,3,0,0,3,0,565.0,977,0.0,0.0,2,0.0,1.0,0,True,False,False,False
evt_012440,compliance.submitted,238,ep_00328,0.975,60,1,0,0,0,1,622.0,622,0.0,0.0,0,0.0,0.0,1,False,False,True,False
evt_000554,invoice.validated,454,ep_00016,0.813,60,6,0,0,6,0,675.8333333333334,1481,0.0,0.0,5,0.0,1.0,0,False,False,False,True
evt_006994,invoice.created,338,ep_00428,0.962,500,3,0,0,2,1,506.6666666666667,718,0.0,0.0,2,0.0,0.6666666666666666,1,False,True,False,False
