event_id,event_type,customer_id,endpoint_id,attempt_number,http_status,response_time_ms,timeout,signature_valid
evt_bulk_d3ccd1bd,user.created,cust_010,ep_002,3,200,257.42,false,true
evt_bulk_fe5f5b13,invoice.paid,cust_040,ep_006,1,401,2991.16,false,false
evt_bulk_4f10750c,invoice.paid,cust_040,ep_006,1,500,5508.77,false,true
evt_bulk_c56fecde,payment.failed,cust_040,ep_006,1,200,236.82,false,true
evt_bulk_d3d3c1e9,invoice.paid,cust_010,ep_005,1,504,2739.56,true,true
evt_bulk_d3d3c1e9,invoice.paid,cust_010,ep_005,2,500,5366.98,false,true
evt_bulk_d3d3c1e9,invoice.paid,cust_010,ep_005,3,500,5264.95,false,true
evt_bulk_52a1db3a,order.shipped,cust_010,ep_005,1,401,3777.82,false,false
evt_bulk_8cdd5681,user.created,cust_010,ep_003,1,504,5360.74,true,true
evt_bulk_8cdd5681,user.created,cust_010,ep_003,2,200,319.69,false,true
evt_bulk_95bbf4df,payment.failed,cust_040,ep_004,1,502,2661.09,false,true
evt_bulk_95bbf4df,payment.failed,cust_040,ep_004,2,502,2521.93,false,true
evt_bulk_95bbf4df,payment.failed,cust_040,ep_004,3,401,2214.81,false,false
evt_bulk_579d0f01,subscription.canceled,cust_050,ep_005,1,429,2094.18,false,true
evt_bulk_579d0f01,subscription.canceled,cust_050,ep_005,2,500,3334.0,false,true
evt_bulk_579d0f01,subscription.canceled,cust_050,ep_005,3,429,1983.98,false,true
evt_bulk_579d0f01,subscription.canceled,cust_050,ep_005,4,504,4099.5,true,true
evt_bulk_579d0f01,subscription.canceled,cust_050,ep_005,5,401,3732.09,false,false
evt_bulk_72199b3d,subscription.canceled,cust_020,ep_003,1,504,1731.4,true,true
evt_bulk_72199b3d,subscription.canceled,cust_020,ep_003,2,200,206.96,false,true
evt_bulk_aab6474b,order.shipped,cust_030,ep_002,1,201,329.12,false,true
evt_bulk_c14d7023,payment.failed,cust_030,ep_001,1,502,4007.66,false,true
evt_bulk_c14d7023,payment.failed,cust_030,ep_001,2,500,1691.47,false,true
evt_bulk_c14d7023,payment.failed,cust_030,ep_001,3,502,2698.43,false,true
evt_bulk_c14d7023,payment.failed,cust_030,ep_001,4,401,2506.36,false,false
evt_bulk_9afad031,invoice.paid,cust_010,ep_001,1,200,281.04,false,true
evt_bulk_8bcece64,subscription.canceled,cust_030,ep_002,1,502,2510.86,false,true
evt_bulk_8bcece64,subscription.canceled,cust_030,ep_002,2,201,319.41,false,true
evt_bulk_f0339f6c,user.created,cust_010,ep_006,1,200,129.0,false,true
evt_bulk_e09c141d,user.created,cust_010,ep_005,1,500,2882.54,false,true
evt_bulk_4f18150c,payment.failed,cust_020,ep_005,1,200,147.11,false,true
evt_bulk_6180b838,order.shipped,cust_040,ep_006,1,500,3899.23,false,true
evt_bulk_2d72b18f,payment.failed,cust_040,ep_005,1,200,321.59,false,true
evt_bulk_b64e1f96,payment.failed,cust_020,ep_006,1,500,2228.21,false,true
evt_bulk_b64e1f96,payment.failed,cust_020,ep_006,2,200,269.1,false,true
evt_bulk_5a9a17d5,payment.failed,cust_010,ep_006,1,504,4452.3,true,true
evt_bulk_5a9a17d5,payment.failed,cust_010,ep_006,2,429,5931.81,false,true
evt_bulk_5a9a17d5,payment.failed,cust_010,ep_006,3,200,228.09,false,true
evt_bulk_b42683b4,payment.failed,cust_020,ep_005,1,500,2964.14,false,true
evt_bulk_b42683b4,payment.failed,cust_020,ep_005,2,500,3208.27,false,true
evt_bulk_b42683b4,payment.failed,cust_020,ep_005,3,200,244.68,false,true
evt_bulk_9e6ae7cf,payment.failed,cust_050,ep_006,1,504,1743.75,true,true
evt_bulk_9e6ae7cf,payment.failed,cust_050,ep_006,2,429,2216.85,false,true
evt_bulk_9e6ae7cf,payment.failed,cust_050,ep_006,3,429,4124.72,false,true
evt_bulk_9e6ae7cf,payment.failed,cust_050,ep_006,4,504,2980.23,true,true
