event_id,event_type,customer_id,invoice_id,created_at,payload_size_kb,idempotency_key,priority
evt_008002,invoice.paid,cust_0045,inv_363900,2026-04-01 14:02:40.403772,204,08c923c6-b1e7-45ae-9d9a-f4228df52d09,low
evt_010892,invoice.created,cust_0078,inv_212986,2026-04-20 11:49:09.450255,275,81451ff6-9ac5-4569-9497-00baa28c18d6,high
evt_009510,compliance.failed,cust_0197,inv_185119,2026-01-16 13:21:13.428031,165,5e68e16c-7bef-48ee-9934-b6364ef768d4,critical
evt_003976,compliance.submitted,cust_0046,inv_984826,2026-05-04 06:54:52.335408,222,c8b6f2c8-ceee-46d6-9c14-69aa2bb9b766,critical
evt_006308,invoice.paid,cust_0249,inv_935353,2026-05-07 06:52:15.375017,159,b4154270-b78b-4d2d-b607-7643db680dea,low
evt_008086,compliance.submitted,cust_0075,inv_395039,2026-02-02 05:20:34.405085,188,abdb257d-34c6-4254-bd5d-b99a3cc6c843,medium
evt_005438,invoice.validated,cust_0026,inv_282242,2026-04-08 18:06:11.359104,219,13522481-b193-4b01-bec4-78e16a228f5b,low
evt_005805,invoice.paid,cust_0092,inv_925366,2026-03-19 04:00:27.365651,98,8ba1ca56-c4b5-41d3-a2b2-8de6ce0781ce,low
evt_011255,invoice.paid,cust_0249,inv_788395,2026-03-13 11:22:03.456051,399,9071a3e3-d78b-48c3-ab6e-39c572cddafd,low
evt_006735,invoice.paid,cust_0045,inv_949840,2026-04-20 22:18:10.381748,158,5cd486c9-556b-4c41-9c51-a137908bba99,high
evt_000124,compliance.failed,cust_0104,inv_120053,2026-03-01 17:09:30.269769,596,5b1ec8ac-95ca-4723-89fa-3006cbb7b843,low
evt_011785,invoice.created,cust_0228,inv_207583,2026-02-12 12:32:36.464840,120,f87f9511-efb7-463a-8f8f-04489017af64,low
evt_007802,compliance.submitted,cust_0242,inv_293039,2026-04-26 11:00:58.400403,267,0b3d12cc-43ff-4bd9-b8f1-3f794bd7b4c9,low
evt_008332,invoice.created,cust_0183,inv_823175,2026-02-04 08:59:55.409160,189,420b90e4-66bc-4622-a2e2-389b8003a089,low
evt_013067,invoice.validated,cust_0077,inv_771799,2026-02-13 06:31:43.486118,466,517847da-dc6e-4a5b-b35b-6d0fe1fda7d5,low
evt_009725,invoice.created,cust_0115,inv_743887,2026-01-23 09:13:36.431552,216,aa63644b-cf98-48a3-aee4-b32341b3d42c,low
evt_014535,compliance.submitted,cust_0057,inv_793974,2026-04-14 06:40:31.511152,286,afadd0d2-7b83-4269-88f2-0a4d9e876707,high
evt_008311,compliance.submitted,cust_0235,inv_350647,2026-02-01 23:17:20.408824,161,fd58aea5-db68-4bf8-8d65-b74b9fb09cad,low
evt_009568,invoice.paid,cust_0066,inv_753342,2026-04-19 11:50:30.428948,155,0fc53c92-c0a1-4c61-83a2-7697c88d413f,medium
evt_011378,invoice.created,cust_0023,inv_456299,2026-04-09 14:43:35.458078,436,e5cb6520-8b36-413d-ae6e-14804af7e544,medium
evt_004919,invoice.validated,cust_0220,inv_548028,2026-03-15 06:11:35.350682,346,54c32e6c-c4e5-43da-8879-e090bcca2531,high
