event_id,delivery_state,failure_reason,safe_to_replay,recommended_action
evt_000001,delivered,none,True,none
evt_000003,delivered,none,True,none
evt_000004,duplicate,duplicate_event,False,avoid_replay
evt_000007,delivered,none,True,none
evt_000008,expired,endpoint_deleted,False,contact_customer
evt_000009,delivered,none,True,none
evt_000011,recovered,customer_endpoint_down,False,retry_later
evt_000013,delivered,none,True,none
evt_000015,failed,payload_too_large,True,reduce_payload
evt_000016,recovered,invalid_signature,False,rotate_signature
evt_000018,failed,payload_too_large,True,reduce_payload
evt_000019,recovered,invalid_signature,False,rotate_signature
evt_000020,delivered,none,True,none
evt_000021,recovered,invalid_signature,False,rotate_signature
evt_000023,delivered,none,True,none
evt_000024,delivered,none,True,none
evt_000025,failed,customer_endpoint_down,True,investigate_endpoint
evt_000026,delivered,none,True,none
evt_000027,recovered,none,False,monitor_endpoint
evt_000028,delivered,none,True,none
evt_000029,delivered,none,True,none
evt_000030,failed,payload_too_large,True,reduce_payload
evt_000031,recovered,malformed_response,False,inspect_endpoint
evt_000032,delivered,none,True,none
evt_000033,recovered,none,False,monitor_endpoint
evt_000034,delivered,none,True,none
evt_000035,delivered,none,True,none
evt_000036,recovered,none,False,monitor_endpoint
evt_000037,recovered,rate_limited,False,exponential_backoff
evt_000038,recovered,rate_limited,False,exponential_backoff
evt_000040,duplicate,duplicate_event,False,avoid_replay
evt_000041,delivered,none,True,none
evt_000042,recovered,malformed_response,False,inspect_endpoint
evt_000043,duplicate,duplicate_event,False,avoid_replay
evt_000044,duplicate,duplicate_event,False,avoid_replay
evt_000045,delivered,none,True,none
evt_000046,recovered,rate_limited,False,exponential_backoff
evt_000047,delivered,none,True,none
evt_000048,delivered,none,True,none
evt_000049,recovered,rate_limited,False,exponential_backoff
evt_000050,recovered,none,False,monitor_endpoint
evt_000051,recovered,rate_limited,False,exponential_backoff
evt_000052,expired,endpoint_deleted,False,contact_customer
evt_000053,recovered,invalid_signature,False,rotate_signature
evt_000054,delivered,none,True,none
evt_000057,recovered,rate_limited,False,exponential_backoff
evt_000058,delivered,none,True,none
evt_000059,delivered,none,True,none
evt_000060,delivered,none,True,none
evt_000062,recovered,malformed_response,False,inspect_endpoint
evt_000063,duplicate,duplicate_event,False,avoid_replay
evt_000064,recovered,invalid_signature,False,rotate_signature
evt_000066,duplicate,duplicate_event,False,avoid_replay
evt_000067,recovered,none,False,monitor_endpoint
evt_000068,recovered,invalid_signature,False,rotate_signature
evt_000069,recovered,customer_endpoint_down,False,retry_later
evt_000070,recovered,customer_endpoint_down,False,retry_later
evt_000071,duplicate,duplicate_event,False,avoid_replay
evt_000072,recovered,none,False,monitor_endpoint
evt_000074,duplicate,duplicate_event,False,avoid_replay
evt_000076,delivered,none,True,none
evt_000077,recovered,none,False,monitor_endpoint
evt_000080,failed,payload_too_large,True,reduce_payload
evt_000081,delivered,none,True,none
evt_000082,expired,endpoint_deleted,False,contact_customer
evt_000083,recovered,customer_endpoint_down,False,retry_later
evt_000084,recovered,none,False,monitor_endpoint
evt_000085,expired,endpoint_deleted,False,contact_customer
evt_000086,delivered,none,True,none
evt_000087,expired,endpoint_deleted,False,contact_customer
evt_000088,recovered,malformed_response,False,inspect_endpoint
evt_000089,recovered,malformed_response,False,inspect_endpoint
evt_000091,delivered,none,True,none
evt_000092,recovered,none,False,monitor_endpoint
evt_000093,failed,payload_too_large,True,reduce_payload
