event_id,replayed_at,replay_result,duplicate_detected,manually_triggered
evt_000002,2026-04-24 15:22:28.267334,duplicate_processed,False,False
evt_000006,2026-03-05 12:39:20.267489,failed,False,False
evt_000009,2026-02-19 21:26:21.267593,success,False,True
evt_000017,2026-02-08 00:49:46.267760,duplicate_processed,False,True
evt_000026,2026-05-16 20:01:41.267984,success,False,False
evt_000033,2026-02-06 07:14:36.268208,duplicate_processed,False,True
evt_000035,2026-03-15 22:20:33.268256,success,False,False
evt_000038,2026-05-16 17:05:38.268352,unsafe,False,True
evt_000048,2026-02-22 03:28:30.268532,failed,False,False
evt_000051,2026-05-11 02:58:35.268583,unsafe,False,False
evt_000053,2026-05-09 08:50:39.268613,duplicate_processed,False,True
evt_000060,2026-03-12 03:08:28.268734,recovered,False,False
evt_000061,2026-05-11 12:24:18.268750,duplicate_processed,False,False
evt_000066,2026-02-13 17:12:15.268827,unsafe,True,False
evt_000070,2026-02-06 00:49:42.268890,unsafe,False,True
evt_000073,2026-04-06 17:31:13.268938,success,False,True
evt_000076,2026-01-22 04:52:37.268987,recovered,False,True
evt_000077,2026-01-28 21:36:57.269005,duplicate_processed,False,True
evt_000081,2026-03-27 02:42:05.269067,failed,False,False
evt_000083,2026-05-08 16:55:05.269097,duplicate_processed,False,True
evt_000085,2026-01-21 10:42:10.269127,duplicate_processed,False,True
evt_000093,2026-03-21 18:48:02.269254,success,False,False
evt_000095,2026-05-14 10:05:36.269288,failed,False,True
evt_000096,2026-01-22 21:07:56.269304,unsafe,False,False
evt_000097,2026-04-05 10:27:11.269319,failed,False,False
evt_000102,2026-05-06 06:21:42.269398,success,False,True
evt_000103,2026-02-03 07:10:10.269414,unsafe,False,True
evt_000105,2026-03-15 22:09:47.269444,duplicate_processed,True,False
evt_000110,2026-02-14 12:27:30.269546,recovered,False,False
evt_000119,2026-02-06 13:15:26.269693,duplicate_processed,False,False
evt_000122,2026-03-25 02:24:10.269739,unsafe,False,True
evt_000127,2026-01-27 10:05:01.269815,duplicate_processed,False,False
evt_000135,2026-02-18 11:05:50.269952,failed,False,True
evt_000136,2026-04-20 13:52:30.269967,failed,False,True
evt_000138,2026-04-26 13:42:19.269997,failed,False,True
evt_000139,2026-03-03 18:32:14.270012,success,False,True
evt_000152,2026-04-13 15:27:23.270213,success,False,False
evt_000160,2026-04-26 19:48:50.270344,recovered,False,False
evt_000161,2026-03-03 14:07:53.270361,duplicate_processed,False,False
evt_000162,2026-02-02 20:15:16.270377,unsafe,False,True
evt_000165,2026-03-16 17:40:53.270431,duplicate_processed,False,False
evt_000168,2026-05-14 07:07:38.270481,unsafe,False,True
evt_000169,2026-02-07 14:29:22.270496,unsafe,False,False
evt_000171,2026-04-28 07:28:44.270544,duplicate_processed,False,True
evt_000178,2026-04-30 01:20:45.270655,recovered,False,False
evt_000179,2026-05-11 21:12:44.270670,unsafe,False,False
evt_000188,2026-02-20 01:49:10.270809,duplicate_processed,False,True
evt_000190,2026-04-08 05:35:25.270840,duplicate_processed,False,True
evt_000193,2026-02-17 05:43:55.270889,failed,False,False
evt_000200,2026-02-26 10:06:26.270999,duplicate_processed,False,False
evt_000209,2026-05-04 20:47:04.271138,duplicate_processed,False,True
evt_000211,2026-02-17 00:54:21.271168,unsafe,False,True
