event_id,event_type,customer_id,endpoint_id,attempt_number,http_status,response_time_ms,timeout,signature_valid
evt_succ_001,payment.succeeded,cust_001,end_001,1,200,120.5,false,true
evt_succ_002,invoice.created,cust_002,end_002,1,200,85.2,false,true
evt_succ_003,order.placed,cust_003,end_003,1,200,150.0,false,true
evt_succ_004,customer.created,cust_001,end_001,1,200,95.1,false,true
evt_succ_005,payment.succeeded,cust_004,end_004,1,200,110.3,false,true
evt_succ_006,invoice.paid,cust_002,end_002,1,200,75.0,false,true
evt_succ_007,order.fulfilled,cust_003,end_003,1,200,140.2,false,true
evt_succ_008,payment.failed,cust_004,end_004,1,200,105.5,false,true
evt_succ_009,invoice.created,cust_001,end_001,1,200,88.4,false,true
evt_succ_010,order.placed,cust_002,end_002,1,200,130.1,false,true
