event_id,event_type,customer_id,endpoint_id,attempt_number,http_status,response_time_ms,timeout,signature_valid
evt_mix_001,payment.succeeded,cust_001,end_001,1,200,120.0,false,true
evt_mix_002,invoice.created,cust_002,end_002,1,500,200.0,false,true
evt_mix_002,invoice.created,cust_002,end_002,2,200,150.0,false,true
evt_mix_003,order.placed,cust_003,end_003,1,504,5000.0,true,true
evt_mix_004,customer.created,cust_001,end_001,1,401,50.0,false,false
evt_mix_005,payment.succeeded,cust_004,end_004,1,200,110.0,false,true
evt_mix_006,invoice.paid,cust_002,end_002,1,500,180.0,false,true
evt_mix_007,order.fulfilled,cust_003,end_003,1,200,130.0,false,true
evt_mix_008,payment.failed,cust_004,end_004,1,504,5000.0,true,true
evt_mix_008,payment.failed,cust_004,end_004,2,504,5000.0,true,true
